Ref,Val,Package,PosX,PosY,Rot,Side
"U106","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",181.750000,-190.865000,0.000000,top
"U201","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",237.500000,-200.500000,90.000000,top
"U202","MCP3201-BI/SN","SOIC-8_3.9x4.9mm_P1.27mm",228.000000,-200.500000,270.000000,top
"U301","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",262.500000,-200.500000,90.000000,top
"U302","MCP3201-BI/SN","SOIC-8_3.9x4.9mm_P1.27mm",253.000000,-200.500000,270.000000,top
"U401","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",287.500000,-200.500000,90.000000,top
"U402","MCP3201-BI/SN","SOIC-8_3.9x4.9mm_P1.27mm",278.000000,-200.500000,270.000000,top
"U501","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",312.500000,-200.500000,90.000000,top
"U502","MCP3201-BI/SN","SOIC-8_3.9x4.9mm_P1.27mm",303.000000,-200.500000,270.000000,top
"U601","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",337.500000,-200.500000,90.000000,top
"U602","MCP3201-BI/SN","SOIC-8_3.9x4.9mm_P1.27mm",328.000000,-200.500000,270.000000,top
"U701","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",362.500000,-200.500000,90.000000,top
"U702","MCP3201-BI/SN","SOIC-8_3.9x4.9mm_P1.27mm",353.000000,-200.500000,270.000000,top
"U801","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",397.500000,-200.500000,90.000000,top
"U802","MCP3201-BI/SN","SOIC-8_3.9x4.9mm_P1.27mm",388.000000,-200.500000,270.000000,top
"U901","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",422.500000,-200.500000,90.000000,top
"U902","MCP3201-BI/SN","SOIC-8_3.9x4.9mm_P1.27mm",413.000000,-200.500000,270.000000,top
"U1001","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",447.500000,-200.500000,90.000000,top
"U1002","MCP3201-BI/SN","SOIC-8_3.9x4.9mm_P1.27mm",438.000000,-200.500000,270.000000,top
"U1101","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",472.500000,-200.500000,90.000000,top
"U1102","MCP3201-BI/SN","SOIC-8_3.9x4.9mm_P1.27mm",463.000000,-200.500000,270.000000,top
"U1201","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",497.500000,-200.500000,90.000000,top
"U1202","MCP3201-BI/SN","SOIC-8_3.9x4.9mm_P1.27mm",488.000000,-200.500000,270.000000,top
"U1401","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",119.500000,-211.000000,90.000000,top
"U1402","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",137.500000,-211.000000,90.000000,top
"U1403","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",155.500000,-211.000000,90.000000,top
"U1404","TLC5916IDR","SOIC-16_3.9x9.9mm_P1.27mm",173.500000,-211.000000,90.000000,top
