Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D706,green,LED_0805_2012Metric,371.000000,-206.750000,0.000000,top
D707,green,LED_0805_2012Metric,371.000000,-211.250000,0.000000,top
D708,green,LED_0805_2012Metric,371.000000,-215.750000,0.000000,top
D801,red,LED_0805_2012Metric,406.000000,-184.250000,0.000000,top
D802,red,LED_0805_2012Metric,406.000000,-188.750000,0.000000,top
D803,yellow,LED_0805_2012Metric,406.000000,-193.250000,0.000000,top
D804,yellow,LED_0805_2012Metric,406.000000,-197.750000,0.000000,top
D805,green,LED_0805_2012Metric,406.000000,-202.250000,0.000000,top
D806,green,LED_0805_2012Metric,406.000000,-206.750000,0.000000,top
D807,green,LED_0805_2012Metric,406.000000,-211.250000,0.000000,top
D808,green,LED_0805_2012Metric,406.000000,-215.750000,0.000000,top
D901,red,LED_0805_2012Metric,431.000000,-184.250000,0.000000,top
D902,red,LED_0805_2012Metric,431.000000,-188.750000,0.000000,top
D903,yellow,LED_0805_2012Metric,431.000000,-193.250000,0.000000,top
D904,yellow,LED_0805_2012Metric,431.000000,-197.750000,0.000000,top
D905,green,LED_0805_2012Metric,431.000000,-202.250000,0.000000,top
D906,green,LED_0805_2012Metric,431.000000,-206.750000,0.000000,top
D907,green,LED_0805_2012Metric,431.000000,-211.250000,0.000000,top
D908,green,LED_0805_2012Metric,431.000000,-215.750000,0.000000,top
D1001,red,LED_0805_2012Metric,456.000000,-184.250000,0.000000,top
D1002,red,LED_0805_2012Metric,456.000000,-188.750000,0.000000,top
D1003,yellow,LED_0805_2012Metric,456.000000,-193.250000,0.000000,top
D1004,yellow,LED_0805_2012Metric,456.000000,-197.750000,0.000000,top
D1005,green,LED_0805_2012Metric,456.000000,-202.250000,0.000000,top
D1006,green,LED_0805_2012Metric,456.000000,-206.750000,0.000000,top
D1007,green,LED_0805_2012Metric,456.000000,-211.250000,0.000000,top
D1008,green,LED_0805_2012Metric,456.000000,-215.750000,0.000000,top
D1101,red,LED_0805_2012Metric,481.000000,-184.250000,0.000000,top
D1102,red,LED_0805_2012Metric,481.000000,-188.750000,0.000000,top
D1103,yellow,LED_0805_2012Metric,481.000000,-193.250000,0.000000,top
D1104,yellow,LED_0805_2012Metric,481.000000,-197.750000,0.000000,top
D1105,green,LED_0805_2012Metric,481.000000,-202.250000,0.000000,top
D1106,green,LED_0805_2012Metric,481.000000,-206.750000,0.000000,top
D1107,green,LED_0805_2012Metric,481.000000,-211.250000,0.000000,top
D1108,green,LED_0805_2012Metric,481.000000,-215.750000,0.000000,top
D1201,red,LED_0805_2012Metric,506.000000,-184.250000,0.000000,top
D1202,red,LED_0805_2012Metric,506.000000,-188.750000,0.000000,top
D1203,yellow,LED_0805_2012Metric,506.000000,-193.250000,0.000000,top
D1204,yellow,LED_0805_2012Metric,506.000000,-197.750000,0.000000,top
D1205,green,LED_0805_2012Metric,506.000000,-202.250000,0.000000,top
D1206,green,LED_0805_2012Metric,506.000000,-206.750000,0.000000,top
D1207,green,LED_0805_2012Metric,506.000000,-211.250000,0.000000,top
D1208,green,LED_0805_2012Metric,506.000000,-215.750000,0.000000,top
D1401,green,LED_0805_2012Metric,116.250000,-216.000000,0.000000,top
D1402,green,LED_0805_2012Metric,120.687500,-216.000000,0.000000,top
D1403,green,LED_0805_2012Metric,125.250000,-216.000000,0.000000,top
D1404,green,LED_0805_2012Metric,129.750000,-216.000000,0.000000,top
D1405,green,LED_0805_2012Metric,129.750000,-206.000000,0.000000,top
D1406,green,LED_0805_2012Metric,125.250000,-206.000000,0.000000,top
D1407,green,LED_0805_2012Metric,120.750000,-206.000000,0.000000,top
D1408,green,LED_0805_2012Metric,116.250000,-206.000000,0.000000,top
D1409,green,LED_0805_2012Metric,134.250000,-216.000000,0.000000,top
D1410,green,LED_0805_2012Metric,138.750000,-216.000000,0.000000,top
D1411,green,LED_0805_2012Metric,143.250000,-216.000000,0.000000,top
D1412,green,LED_0805_2012Metric,147.812500,-216.000000,0.000000,top
D1413,green,LED_0805_2012Metric,147.750000,-206.000000,0.000000,top
D1414,green,LED_0805_2012Metric,143.250000,-206.000000,0.000000,top
D1415,green,LED_0805_2012Metric,138.750000,-206.000000,0.000000,top
D1416,green,LED_0805_2012Metric,134.250000,-206.000000,0.000000,top
D1417,yellow,LED_0805_2012Metric,152.250000,-216.000000,0.000000,top
D1418,yellow,LED_0805_2012Metric,156.750000,-216.000000,0.000000,top
D1419,yellow,LED_0805_2012Metric,161.250000,-216.000000,0.000000,top
D1420,yellow,LED_0805_2012Metric,165.750000,-216.000000,0.000000,top
D1421,yellow,LED_0805_2012Metric,165.750000,-206.000000,0.000000,top
D1422,yellow,LED_0805_2012Metric,161.250000,-206.000000,0.000000,top
D1423,yellow,LED_0805_2012Metric,156.750000,-206.000000,0.000000,top
D1424,yellow,LED_0805_2012Metric,152.250000,-206.000000,0.000000,top
D1425,red,LED_0805_2012Metric,170.250000,-216.000000,0.000000,top
D1426,red,LED_0805_2012Metric,174.750000,-216.000000,0.000000,top
D1427,red,LED_0805_2012Metric,179.250000,-216.000000,0.000000,top
D1428,red,LED_0805_2012Metric,183.750000,-216.000000,0.000000,top
D1429,red,LED_0805_2012Metric,183.750000,-206.000000,0.000000,top
D1430,red,LED_0805_2012Metric,179.250000,-206.000000,0.000000,top
D1431,red,LED_0805_2012Metric,174.750000,-206.000000,0.000000,top
D1432,red,LED_0805_2012Metric,170.312500,-206.000000,0.000000,top
Q1,2N7002,SOT-23,205.125000,-200.875000,90.000000,top
R1,470R,R_0603_1608Metric,386.500000,-188.750000,90.000000,top
R2,470R,R_0603_1608Metric,213.000000,-206.000000,180.000000,top
R3,100k,R_0603_1608Metric,188.500000,-205.500000,270.000000,top
R4,100k,R_0603_1608Metric,190.125000,-205.500000,270.000000,top
R5,100k,R_0603_1608Metric,186.875000,-205.500000,270.000000,top
R6,10k,R_0603_1608Metric,205.375000,-198.250000,180.000000,top
R7,100k,R_0603_1608Metric,208.500000,-206.000000,0.000000,top
R8,10k,R_0603_1608Metric,205.375000,-203.500000,0.000000,top
R101,470R,R_0603_1608Metric,123.647500,-188.007500,180.000000,top
R102,470R,R_0603_1608Metric,136.347500,-188.007500,180.000000,top
R103,470R,R_0603_1608Metric,149.047500,-188.007500,180.000000,top
R104,470R,R_0603_1608Metric,161.747500,-188.007500,180.000000,top
R105,470R,R_0603_1608Metric,174.447500,-188.007500,180.000000,top
R106,470R,R_0603_1608Metric,187.147500,-188.007500,180.000000,top
R201,470R,R_0603_1608Metric,231.500000,-202.500000,90.000000,top
R202,1k,R_0603_1608Metric,226.500000,-212.500000,90.000000,top
R203,10k,R_0603_1608Metric,226.500000,-206.000000,270.000000,top
R204,470R,R_0603_1608Metric,213.000000,-194.000000,180.000000,top
R301,470R,R_0603_1608Metric,256.500000,-202.500000,90.000000,top
